"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"375","0.057277","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=894, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"376","0.057503","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=894, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"377","0.057750","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=894, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"739","0.101070","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=911, FN=0, Flags=........., BI=100, SSID=eduroam[Malformed Packet]","-81 dBm"
"740","0.101375","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=911, FN=0, Flags=........., BI=100, SSID=tamulink-wpa[Malformed Packet]","-81 dBm"
"1200","0.158714","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=895, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"1201","0.158878","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=895, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"1202","0.159042","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=895, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"2016","0.268340","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=896, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"2017","0.268444","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=896, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"2018","0.268662","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=896, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"2749","0.363210","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=897, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"2750","0.363278","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=897, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"2751","0.363478","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=897, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"3142","0.408426","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=914, FN=0, Flags=........., BI=100, SSID=tamulink-wW\\357","-82 dBm"
"3143","0.408519","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=914, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-81 dBm"
"3303","0.465517","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=898, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
