"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2399, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"2","0.000146","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2399, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"3","0.000384","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2399, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"5","0.013354","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2552, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"6","0.013496","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2552, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"7","0.013743","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2552, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"42","0.102506","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2400, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"43","0.102677","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2400, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"44","0.102781","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2400, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"45","0.106223","bc:99:c4:11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2545, FN=0, Flags=........., BI=100, SSID=eduroam","-88 dBm"
"46","0.106302","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2545, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-86 dBm"
"47","0.106402","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2545, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"48","0.115991","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"49","0.116074","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"50","0.116185","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"51","0.205046","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2401, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"52","0.205151","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2401, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"53","0.205253","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2401, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"54","0.208629","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2546, FN=0, Flags=........C, BI=100, SSID=eduroam","-86 dBm"
"56","0.208833","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2546, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"60","0.218290","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2554, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"61","0.218357","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2554, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"62","0.218454","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2554, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"70","0.307332","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2402, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"71","0.307501","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2402, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"72","0.307603","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2402, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"98","0.320796","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2555, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"99","0.320894","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2555, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"100","0.320995","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2555, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"103","0.409876","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2403, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"104","0.409975","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2403, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"105","0.410031","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2403, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"107","0.423102","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2556, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"108","0.423170","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2556, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"109","0.423271","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2556, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"110","0.512035","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2404, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"111","0.512143","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2404, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"112","0.512245","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2404, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"113","0.515606","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2549, FN=0, Flags=........., BI=100, SSID=eduroam","-87 dBm"
"114","0.515993","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2549, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"115","0.525373","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2557, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"116","0.525477","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2557, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"117","0.525574","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2557, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"119","0.614549","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2405, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"120","0.614681","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2405, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"121","0.614783","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2405, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"122","0.618118","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2550, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"123","0.618288","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2550, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"124","0.618391","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2550, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"125","0.627889","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2558, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"126","0.628016","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2558, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"127","0.628118","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2558, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"199","0.716782","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2406, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"200","0.716886","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2406, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"201","0.717242","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2406, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"210","0.720600","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2551, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"211","0.720666","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2551, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-87 dBm"
"218","0.730333","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2559, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"219","0.730400","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2559, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"220","0.730502","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2559, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"386","0.819236","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2407, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"387","0.819333","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2407, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"388","0.819436","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2407, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"408","0.832657","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2560, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"409","0.832724","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2560, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"410","0.832826","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2560, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"603","0.921710","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2408, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"605","0.921877","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2408, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"619","0.925038","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"621","0.925717","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"649","0.934935","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2561, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
