"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"3","0.045596","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=3370, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"4","0.045709","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=3370, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"5","0.046042","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=3370, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"6","0.054848","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=3509, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"7","0.054958","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=3509, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"8","0.055071","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=3509, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
"10","0.138101","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=eduroam","-82 dBm"
"11","0.138264","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"12","0.138475","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-82 dBm"
"16","0.147915","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"17","0.148022","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"18","0.148269","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"19","0.157358","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=3510, FN=0, Flags=........C, BI=100, SSID=eduroam","-78 dBm"
"20","0.157613","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=3510, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
