"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","d6:fd:4d:b8:68:1f","75:f6:ff:ff:81:58","802.11","239","Beacon frame, SN=3065, FN=0, Flags=...PR.F.., BI=12388[Packet size limited during capture]","-88 dBm"
"2","0.000430","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2524, FN=0, Flags=........., BI=100, SSID=tamulink-wpa[Malformed Packet]","-86 dBm"
"3","0.050295","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2389, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"4","0.050393","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2525, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"5","0.050666","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2499, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"6","0.102735","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=2298, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-89 dBm"
"7","0.102879","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2525, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-90 dBm"
"8","0.152928","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2390, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"9","0.153029","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2526, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"10","0.153133","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2500, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"12","0.204985","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=2299, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"13","0.205085","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"14","0.205187","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2526, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"18","0.255268","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2391, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"19","0.255338","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2527, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"20","0.255439","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2501, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"40","0.307381","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=2300, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-89 dBm"
"41","0.307482","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=2554, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"42","0.307585","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2527, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
