"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=791, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"2","0.000104","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=975, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"3","0.000216","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=947, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"4","0.051403","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1105, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"5","0.051500","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1150, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"6","0.051594","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1124, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"7","0.102401","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=792, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"8","0.102506","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=976, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"9","0.102656","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=948, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"10","0.154030","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1106, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"11","0.154130","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1151, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"12","0.154232","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1125, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"16","0.204951","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=793, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"17","0.205051","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=977, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
"18","0.205154","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=949, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"19","0.256426","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1107, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"20","0.256527","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1152, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
"21","0.256630","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1126, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
