"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"26","0.013451","ArubaNet_11:fb:12","Broadcast","802.11","239","Beacon frame, SN=3187, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-62 dBm"
"27","0.013561","ArubaNet_11:fb:10","Broadcast","802.11","232","Beacon frame, SN=3328, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"28","0.013662","ArubaNet_11:fb:11","Broadcast","802.11","237","Beacon frame, SN=3300, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"34","0.033105","ArubaNet_11:ea:d2","Broadcast","802.11","239","Beacon frame, SN=3370, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-87 dBm"
"35","0.033210","ArubaNet_11:ea:d0","Broadcast","802.11","232","Beacon frame, SN=3419, FN=0, Flags=........., BI=100, SSID=eduroam","-86 dBm"
"36","0.033323","ArubaNet_11:ea:d1","Broadcast","802.11","237","Beacon frame, SN=3394, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"69","0.074848","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3383, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-57 dBm"
"70","0.074945","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3430, FN=0, Flags=........C, BI=100, SSID=eduroam","-57 dBm"
"71","0.075040","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3405, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-58 dBm"
"93","0.115985","ArubaNet_11:fb:12","Broadcast","802.11","239","Beacon frame, SN=3188, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-61 dBm"
"94","0.116090","ArubaNet_11:fb:10","Broadcast","802.11","232","Beacon frame, SN=3329, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"95","0.116195","ArubaNet_11:fb:11","Broadcast","802.11","237","Beacon frame, SN=3301, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-61 dBm"
"113","0.135584","ArubaNet_11:ea:d2","Broadcast","802.11","239","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"114","0.135690","ArubaNet_11:ea:d0","Broadcast","802.11","232","Beacon frame, SN=3420, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"115","0.135794","ArubaNet_11:ea:d1","Broadcast","802.11","237","Beacon frame, SN=3395, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"133","0.177470","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3384, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-58 dBm"
"134","0.177573","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3431, FN=0, Flags=........C, BI=100, SSID=eduroam","-58 dBm"
"135","0.177677","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3406, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-58 dBm"
"179","0.218483","ArubaNet_11:fb:12","Broadcast","802.11","239","Beacon frame, SN=3189, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"180","0.218584","ArubaNet_11:fb:10","Broadcast","802.11","232","Beacon frame, SN=3330, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"181","0.218688","ArubaNet_11:fb:11","Broadcast","802.11","237","Beacon frame, SN=3302, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"201","0.236578","ArubaNet_11:eb:52","Broadcast","802.11","239","Beacon frame, SN=3387, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-91 dBm"
"202","0.236680","ArubaNet_11:eb:50","Broadcast","802.11","232","Beacon frame, SN=3430, FN=0, Flags=........C, BI=100, SSID=eduroam","-90 dBm"
"203","0.236784","ArubaNet_11:eb:51","Broadcast","802.11","237","Beacon frame, SN=3406, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-90 dBm"
"204","0.237927","ArubaNet_11:ea:d2","Broadcast","802.11","239","Beacon frame, SN=3372, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
