"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"3","0.000297","5f:09:c5:11:f9:70","0a:2c:44:81:40:44","802.11","232","Beacon frame, SN=1162, FN=0, Flags=........., BI=100, SSID=eduroam","-85 dBm"
"4","0.000474","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=1135, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"10","0.051252","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1000, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"11","0.051351","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1136, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"12","0.051448","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1110, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"17","0.102607","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=909, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"18","0.102706","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=1163, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"19","0.102809","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=1136, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"37","0.153832","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1001, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"38","0.153935","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1137, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"39","0.154039","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1111, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"40","0.205120","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=910, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-88 dBm"
"41","0.205188","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=1164, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"42","0.205290","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=1137, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"46","0.256140","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1002, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"47","0.256243","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1138, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"48","0.256345","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1112, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"63","0.307578","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=911, FN=0, Flags=........., BI=100, SSID=tamulink-guest[Malformed Packet]","-87 dBm"
"64","0.307640","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=1165, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"65","0.307790","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=1138, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"82","0.358634","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1003, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"83","0.358733","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1139, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"84","0.358849","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1113, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"89","0.409918","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=912, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-88 dBm"
"90","0.409987","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=1166, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"91","0.410090","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=1139, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"104","0.461031","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1004, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"105","0.461131","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1140, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"106","0.461235","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1114, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"107","0.512208","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=913, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"116","0.563344","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1005, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"117","0.563413","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1141, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"118","0.563585","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1115, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"122","0.615052","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=1168, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"123","0.615161","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=1141, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"138","0.665779","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1006, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"139","0.665949","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1142, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
