"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=86, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"2","0.000284","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=86, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"3","0.000541","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=86, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-61 dBm"
"4","0.010892","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=239, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"5","0.011035","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=239, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"6","0.011290","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=239, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"20","0.102721","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=87, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"21","0.102829","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=87, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-61 dBm"
"22","0.102884","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=87, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-61 dBm"
"25","0.113559","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=240, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"26","0.113663","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=240, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"27","0.113764","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=240, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"36","0.204658","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=88, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"37","0.204781","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=88, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"38","0.204884","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=88, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"49","0.215858","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=241, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"50","0.215926","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=241, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"51","0.216029","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=241, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"128","0.307034","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=89, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"129","0.307140","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=89, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"130","0.307242","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=89, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"148","0.318242","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=242, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"149","0.318411","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=242, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
