"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"167","0.045018","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3367, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"168","0.045211","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3367, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"169","0.045408","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3367, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"188","0.098167","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3352, FN=0, Flags=........C, BI=100, SSID=eduroam","-58 dBm"
"189","0.098228","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3352, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-58 dBm"
"190","0.098429","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3352, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-58 dBm"
"270","0.147676","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3368, FN=0, Flags=........C, BI=100, SSID=eduroam","-82 dBm"
"271","0.147775","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3368, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"272","0.147880","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3368, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-82 dBm"
"503","0.200741","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3353, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"504","0.200810","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3353, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"505","0.201025","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3353, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"591","0.249995","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3369, FN=0, Flags=........C, BI=100, SSID=eduroam","-82 dBm"
"592","0.250062","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3369, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"593","0.250167","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3369, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-82 dBm"
"671","0.302837","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3354, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"672","0.302947","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3354, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"673","0.303189","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3354, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"756","0.352409","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3370, FN=0, Flags=........C, BI=100, SSID=eduroam","-81 dBm"
"757","0.352579","ArubaNet_11:fc:f1","Broadcast","802.11","238","Beacon frame, SN=3370, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"758","0.352683","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3370, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-81 dBm"
"988","0.405486","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3355, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"989","0.405555","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3355, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"990","0.405780","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3355, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"1056","0.454860","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=eduroam","-80 dBm"
"1057","0.454959","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-80 dBm"
"1058","0.455063","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3371, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-81 dBm"
"1150","0.507852","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3356, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"1151","0.508021","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3356, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"1152","0.508220","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3356, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"1255","0.557055","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3372, FN=0, Flags=........C, BI=100, SSID=eduroam","-82 dBm"
"1256","0.557159","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3372, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"1257","0.557258","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3372, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"1289","0.610342","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3357, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"1290","0.610441","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3357, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"1291","0.610603","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3357, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"1318","0.659550","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3373, FN=0, Flags=........C, BI=100, SSID=eduroam","-81 dBm"
"1319","0.659654","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3373, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-81 dBm"
