"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"4","0.016366","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"5","0.016517","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"6","0.016717","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"24","0.060127","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3059, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"25","0.060275","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3059, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-79 dBm"
"43","0.118921","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"44","0.119047","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"45","0.119224","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"59","0.162758","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=eduroam","-80 dBm"
"60","0.162864","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-80 dBm"
"61","0.162968","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-79 dBm"
"94","0.221389","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"95","0.221494","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"96","0.221718","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"111","0.265089","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"112","0.265157","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-79 dBm"
"113","0.265261","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-80 dBm"
"133","0.323767","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"134","0.323862","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"135","0.324087","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"150","0.367579","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3062, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
