"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"35","0.063571","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=eduroam","-54 dBm"
"36","0.063849","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"37","0.064001","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"66","0.166189","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"67","0.166317","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-55 dBm"
"68","0.166535","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-55 dBm"
"116","0.268621","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3074, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"117","0.268714","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3074, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"118","0.268944","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3074, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"151","0.371010","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3075, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"152","0.371103","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3075, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-49 dBm"
"153","0.371335","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3075, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"207","0.473350","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3076, FN=0, Flags=........C, BI=100, SSID=eduroam","-49 dBm"
"208","0.473419","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3076, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-49 dBm"
"209","0.473617","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3076, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-49 dBm"
"240","0.575713","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3077, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"241","0.575782","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3077, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"242","0.575980","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3077, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"298","0.678181","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3078, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"299","0.678284","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3078, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"300","0.678487","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3078, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"360","0.780534","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3079, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"361","0.780662","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3079, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"362","0.780834","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3079, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"394","0.833127","c2:96:ae:9c:50:ee","66:e0:a6:10:4d:b9","802.11","237","Beacon frame, SN=1047, FN=0, Flags=........., BI=26668, SSID=ta\\357\\277\\275\\357\\277\\275BR\\003\\357","-90 dBm"
"411","0.882918","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3080, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"412","0.883024","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3080, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"413","0.883186","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3080, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"439","0.985368","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3081, FN=0, Flags=........C, BI=100, SSID=eduroam","-54 dBm"
"440","0.985466","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3081, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"441","0.985665","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3081, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"480","1.087586","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3082, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"481","1.087688","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3082, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-55 dBm"
"482","1.087837","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3082, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-55 dBm"
"510","1.140028","42:dd:c6:11:fc:f0","ff:ff:ff:ff:ff:cb","802.11","232","Beacon frame, SN=3098, FN=0, Flags=........., BI=64397[Malformed Packet]","-89 dBm"
"520","1.189966","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3083, FN=0, Flags=........C, BI=100, SSID=eduroam","-51 dBm"
"521","1.190065","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3083, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-51 dBm"
"522","1.190224","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3083, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-51 dBm"
"543","1.242470","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3099, FN=0, Flags=........., BI=100, SSID=eduroam","-91 dBm"
"569","1.292523","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3084, FN=0, Flags=........C, BI=100, SSID=eduroam","-54 dBm"
"570","1.292614","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3084, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"571","1.292820","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3084, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"657","1.394914","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3085, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"658","1.395006","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3085, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"659","1.395168","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3085, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"694","1.447481","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3101, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-90 dBm"
"695","1.447587","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3101, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-91 dBm"
"728","1.497372","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3086, FN=0, Flags=........C, BI=100, SSID=eduroam","-52 dBm"
"729","1.497479","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3086, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-52 dBm"
"730","1.497694","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3086, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-52 dBm"
"749","1.549480","03:8a:92:5d:fc:f0","ff:ff:ff:ff:ff:cf","802.11","232","Beacon frame, SN=504, FN=0, Flags=........., BI=100, SSID=eduroam","-88 dBm"
"750","1.549536","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3102, FN=0, Flags=........., BI=100, SSID=tamulink-wpa[Malformed Packet]","-89 dBm"
"751","1.549871","46:8a:10:de:af:e7","ea:0c:bb:3d:4a:6e","802.11","239","Beacon frame, SN=2443, FN=0, Flags=opmP.M...","-88 dBm"
"758","1.599693","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3087, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"759","1.599785","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3087, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-55 dBm"
"760","1.599948","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3087, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-55 dBm"
"783","1.652298","ArubaNet_11:fc:f1","Broadcast","802.11","238","Beacon frame, SN=3103, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-90 dBm"
"784","1.652425","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3103, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-91 dBm"
"809","1.702082","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3088, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"810","1.702176","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3088, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-55 dBm"
"811","1.702338","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3088, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-55 dBm"
"834","1.754401","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3104, FN=0, Flags=........C, BI=100, SSID=eduroam","-90 dBm"
"835","1.754469","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3104, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-91 dBm"
"836","1.754574","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3104, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-90 dBm"
"860","1.804397","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3089, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"861","1.804502","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3089, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"862","1.804664","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3089, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"875","1.856898","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3105, FN=0, Flags=........C, BI=100, SSID=eduroam","-90 dBm"
