"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"75","0.022313","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1927, FN=0, Flags=........C, BI=100, SSID=eduroam","-80 dBm"
"76","0.022501","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1927, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"77","0.022687","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1927, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-81 dBm"
"197","0.048789","","","802.11","39","Beacon frame[Malformed Packet]","-85 dBm"
"206","0.051150","e0:ad:e5:9e:61:fc","30:8c:bc:95:e3:d5","802.11","1528","Beacon frame, SN=2984, FN=12, Flags=op.P.....","-82 dBm"
"304","0.077251","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1912, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"305","0.077394","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1912, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"306","0.077692","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1912, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"487","0.124868","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=eduroam","-82 dBm"
"488","0.124936","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-81 dBm"
"489","0.125040","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-81 dBm"
"563","0.137087","","","802.11","39","Beacon frame[Malformed Packet]","-86 dBm"
"718","0.179699","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1913, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"719","0.179800","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1913, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"720","0.180015","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1913, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"749","0.227366","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1929, FN=0, Flags=........C, BI=100, SSID=eduroam","-82 dBm"
"750","0.227465","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1929, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-81 dBm"
"751","0.227570","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1929, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-81 dBm"
"854","0.282019","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1914, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"855","0.282125","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1914, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"856","0.282371","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1914, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"946","0.329827","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1930, FN=0, Flags=........., BI=100, SSID=tamulink-wpa[Malformed Packet]","-82 dBm"
"947","0.329886","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1055, FN=0, Flags=........., BI=2472, SSID=Broadcast","-81 dBm"
"1029","0.384618","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1915, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"1030","0.384721","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1915, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"1031","0.384947","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1915, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"1048","0.432083","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1931, FN=0, Flags=........C, BI=100, SSID=eduroam","-81 dBm"
"1049","0.432190","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1931, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-81 dBm"
"1050","0.432402","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1931, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-82 dBm"
"1066","0.470570","93:59:47:1b:bd:78","76:30:66:13:04:56","802.11","162","Beacon frame, SN=3653, FN=10, Flags=o.m.R..T., BI=61145, BI=56754","-83 dBm"
"1081","0.486981","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1916, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"1082","0.487087","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1916, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"1083","0.487311","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1916, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"1108","0.534295","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1932, FN=0, Flags=........C, BI=100, SSID=eduroam","-80 dBm"
"1109","0.534355","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1932, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-80 dBm"
"1110","0.534686","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1932, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-81 dBm"
"1132","0.589244","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1917, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"1133","0.589304","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1917, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"1134","0.589464","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1917, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"1161","0.636819","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1933, FN=0, Flags=........C, BI=100, SSID=eduroam","-81 dBm"
"1162","0.636887","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1933, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-81 dBm"
