"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=3804, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"2","0.000165","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=3804, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-79 dBm"
"3","0.000224","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=3804, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"5","0.080487","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=3652, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"6","0.080582","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=3652, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"7","0.080680","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=3652, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"8","0.094258","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=3797, FN=0, Flags=........., BI=100, SSID=eduroam","-86 dBm"
"9","0.094335","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=3797, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-87 dBm"
"10","0.094433","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=3797, FN=0, Flags=........., BI=100, SSID=$\\357\\277\\275\\357\\277\\275\\357\\277\\275\\357\\277\\275)[Malformed Packet]","-86 dBm"
"11","0.102270","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=3805, FN=0, Flags=........C, BI=100, SSID=eduroam","-80 dBm"
"12","0.102337","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=3805, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-80 dBm"
"13","0.102439","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=3805, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-80 dBm"
"16","0.109712","ArubaNet_11:55:a0","Broadcast","802.11","236","Beacon frame, SN=3581, FN=3, Flags=........., BI=100, SSID=tamu,\\lk-guest[Packet size limited during capture]","-90 dBm"
"18","0.182944","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=3653, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"19","0.183113","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=3653, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"20","0.183215","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=3653, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"22","0.196628","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=3798, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"23","0.196720","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=3798, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"24","0.196821","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=3798, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"25","0.204665","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=3806, FN=0, Flags=........C, BI=100, SSID=eduroam","-80 dBm"
"26","0.204766","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=3806, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-80 dBm"
"27","0.204869","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=3806, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-80 dBm"
"32","0.285605","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=3654, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"33","0.285704","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=3654, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"34","0.285806","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=3654, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"35","0.299027","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=3799, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"36","0.299107","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=3799, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"37","0.299209","24:de:96:20:cc:be","ff:ff:ff:ff:1f:ff","802.11","236","Beacon frame, SN=3799, FN=0, Flags=........., BI=100, SSID=\\006US \\001\\r$","-88 dBm"
"38","0.306998","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=3807, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"39","0.307096","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=3807, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-80 dBm"
"40","0.307199","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=3807, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-80 dBm"
"44","0.370163","CameoCom_fe:21:fc","Broadcast","802.11","322","Beacon frame, SN=1250, FN=0, Flags=........C, BI=100, SSID=toop2","-92 dBm"
"45","0.387810","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=3655, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"46","0.387914","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=3655, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"47","0.388016","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=3655, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"48","0.401433","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=3800, FN=0, Flags=........C, BI=100, SSID=eduroam","-86 dBm"
"49","0.401537","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=3800, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"50","0.401639","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=3800, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"51","0.409509","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=3808, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"52","0.409610","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=3808, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-79 dBm"
"53","0.409711","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=3808, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
"54","0.416515","ArubaNet_11:fd:c0","Broadcast","802.11","229","Beacon frame, SN=3584, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"55","0.416620","ArubaNet_11:fd:c1","Broadcast","802.11","234","Beacon frame, SN=3584, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"56","0.416720","a4:67:5e:e6:de:79","ab:63:ff:ff:ff:ff","802.11","236","Beacon frame, SN=482, FN=10, Flags=.pmPR....","-87 dBm"
"58","0.490141","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=3656, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"59","0.490269","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=3656, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"60","0.490373","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=3656, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"61","0.503631","ArubaNet_11:eb:40","8f:9b:19:0b:fb:92","802.11","229","Beacon frame, SN=44, FN=1, Flags=........., BI=100[Packet size limited during capture]","-86 dBm"
"62","0.503687","e1:77:2a:45:3d:89","ff:10:ed:e5:19:b0","802.11","234","Beacon frame, SN=3801, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-85 dBm"
"64","0.511753","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=3809, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
