"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"36096","38.541029","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1210, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"36097","38.541133","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1210, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36106","38.559102","ArubaNet_11:fd:10","Broadcast","802.11","232","Beacon frame, SN=1198, FN=0, Flags=........., BI=16484, SSID=eduroam","-90 dBm"
"36107","38.559162","ArubaNet_11:fd:11","Broadcast","802.11","237","Beacon frame, SN=1198, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"36167","38.601301","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1192, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-73 dBm"
"36168","38.601360","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1192, FN=0, Flags=........., BI=100, SSID=tamulink-guest[Packet size limited during capture]","-73 dBm"
"36197","38.643362","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1211, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"36198","38.643431","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1211, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"36199","38.643535","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1211, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36206","38.661721","ArubaNet_11:fd:11","Broadcast","802.11","237","Beacon frame, SN=1199, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"36249","38.703842","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1193, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-71 dBm"
"36250","38.703941","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1193, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36325","38.744999","69:e2:c3:ac:1f:04","c6:60:a2:22:9f:0f","802.11","57","Beacon frame, SN=577, FN=12, Flags=..m.R.FT.[Malformed Packet]","-89 dBm"
"36326","38.745561","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1212, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"36327","38.745894","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1212, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"36328","38.746000","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1212, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"36421","38.806090","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1194, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"36422","38.806189","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1194, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"36423","38.806351","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1194, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"36524","38.848099","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1213, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"36525","38.848198","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1213, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"36526","38.848302","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1213, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"36594","38.908259","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1195, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"36595","38.908357","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1195, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"36596","38.908559","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1195, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"36617","38.950417","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1214, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"36618","38.950477","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1214, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"36619","38.950808","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1214, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"36645","39.010651","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1196, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
"36646","39.010756","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1196, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"36647","39.010962","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1196, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"36703","39.052835","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1215, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"36704","39.052901","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1215, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"36705","39.053005","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1215, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36748","39.113038","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1197, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
"36749","39.113136","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=1197, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"36750","39.113456","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1197, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"36780","39.155242","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1216, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"36781","39.155353","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1216, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"36782","39.155464","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1216, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36816","39.215483","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1198, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"36817","39.215582","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1198, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"36818","39.215743","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1198, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"36840","39.243002","1d:e3:72:35:1a:ef","40:fd:7e:88:1b:5a","802.11","57","Beacon frame, SN=3284, FN=8, Flags=.pmPR.FT.","-88 dBm"
"36862","39.257782","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1217, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"36863","39.257849","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1217, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"36864","39.257952","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1217, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36867","39.266390","","","802.11","39","Beacon frame[Malformed Packet]","-90 dBm"
"36897","39.317994","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1199, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"36898","39.318061","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1199, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"36899","39.318259","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1199, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"36927","39.360089","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1218, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"36928","39.360157","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1218, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"36929","39.360261","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1218, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"36956","39.379587","ArubaNet_11:fd:10","Broadcast","802.11","232","Beacon frame, SN=1206, FN=0, Flags=........., BI=100, SSID=eduroa\\357","-90 dBm"
"36985","39.420191","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1200, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"36986","39.420593","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1200, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"37010","39.462167","64:fc:b5:45:13:5f","Motorola_78:95:73","802.11","1528","Beacon frame, SN=1170, FN=2, Flags=.p..R.F..","-74 dBm"
"37016","39.463106","27:0e:c1:6c:2b:f2","3c:84:70:a8:c9:59","802.11","293","Fragmented IEEE 802.11 frame","-76 dBm"
"37112","39.522575","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1201, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
