"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"2","0.003181","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"3","0.003285","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"4","0.003407","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"137","0.056756","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=44, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"138","0.056914","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=44, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"139","0.057134","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=44, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"248","0.105579","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"249","0.105679","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"250","0.105781","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-82 dBm"
"305","0.159379","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=45, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"306","0.159472","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=45, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"307","0.159687","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=45, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"325","0.181988","62:78:04:ca:d4:41","9a:23:81:ca:43:59","802.11","1528","Fragmented IEEE 802.11 frame","-85 dBm"
"337","0.184527","43:f6:70:58:cc:42","36:b7:6e:5e:a4:c3","802.11","1528","Beacon frame, SN=2777, FN=13, Flags=o...R.F.., BI=41339[Malformed Packet]","-85 dBm"
"386","0.208081","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"387","0.208149","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"388","0.208254","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"442","0.226632","e1:62:ad:1f:70:fe","9d:81:68:af:33:be","802.11","239","Beacon frame, SN=49, FN=0, Flags=........., BI=100, SSID=tamu\\\\357\\277\\275\\357\\277\\275\\022\\357\\277","-90 dBm"
"466","0.261720","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=46, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"467","0.261825","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=46, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"468","0.262040","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=46, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"523","0.310404","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=62, FN=0, Flags=........., BI=100, SSID=eduroam[Packet size limited during capture]","-82 dBm"
"524","0.310502","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=62, FN=0, Flags=........., BI=100, SSID=tamulink-w\\357\\277","-83 dBm"
"549","0.328479","ArubaNet_21:2a:f6","b7:10:05:6e:ff:1f","802.11","232","Beacon frame, SN=1553, FN=9, Flags=........., BI=248[Malformed Packet]","-91 dBm"
"687","0.364107","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=47, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"688","0.364276","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=47, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"689","0.364502","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=47, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"731","0.412887","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=63, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"732","0.412954","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=63, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"733","0.413058","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=63, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"880","0.466555","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=48, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"881","0.466650","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=48, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"882","0.466877","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=48, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"1019","0.515151","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=64, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"1020","0.515261","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=64, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"1021","0.515365","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=64, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"1144","0.568746","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=49, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"1145","0.568805","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=49, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"1146","0.568971","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=49, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
