"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"3","0.006852","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3301, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-62 dBm"
"4","0.006952","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3437, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"5","0.007058","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3411, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"6","0.109241","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3302, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-62 dBm"
"7","0.109340","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3438, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"8","0.109663","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3412, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"17","0.211714","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3303, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"18","0.211777","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3439, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"19","0.211876","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3413, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"20","0.314110","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3304, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"21","0.314206","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3440, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"22","0.314305","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3414, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"34","0.416692","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3305, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"35","0.416770","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3441, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"36","0.416877","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3415, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"37","0.518922","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3306, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"38","0.519021","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3442, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"39","0.519131","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3416, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"53","0.621473","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3307, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-62 dBm"
"54","0.621578","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3443, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"55","0.621681","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3417, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
"56","0.723875","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3308, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"57","0.723975","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3444, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"58","0.724080","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3418, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"71","0.826273","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3309, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"72","0.826374","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3445, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"73","0.826478","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3419, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"74","0.928595","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3310, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"75","0.928664","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3446, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"76","0.928767","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3420, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"86","1.030891","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3311, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"87","1.030988","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3447, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"88","1.031086","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3421, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"92","1.133519","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3312, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"93","1.133619","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3448, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"94","1.133726","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3422, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"99","1.184245","ArubaNet_11:f9:71","67:80:28:f9:ff:ff","802.11","237","Beacon frame, SN=3448, FN=0, Flags=........., BI=101, SSID=tamulink-wpa[Packet size limited during capture]","-90 dBm"
"104","1.235716","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3313, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"105","1.235819","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3449, FN=0, Flags=........C, BI=100, SSID=eduroam","-62 dBm"
"106","1.235924","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=3423, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-62 dBm"
