"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"820","5.340903","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4061, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"821","5.341008","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4035, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"828","5.443087","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3926, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"829","5.443194","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4062, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"830","5.443320","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4036, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"835","5.545360","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3927, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"836","5.545459","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4063, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"837","5.545782","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4037, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"841","5.647779","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3928, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"842","5.647847","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4064, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"843","5.648200","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4038, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"848","5.750251","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3929, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"849","5.750318","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4065, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"850","5.750421","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4039, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"856","5.800989","ArubaNet_11:f9:e6","ff:5f:b9:fd:ff:ff","802.11","239","Beacon frame, SN=3838, FN=0, Flags=........., BI=100, SSID=tamulink-guest[Malformed Packet]","-90 dBm"
"857","5.852636","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3930, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
