"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2102, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
"2","0.000070","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2286, FN=0, Flags=........C, BI=100, SSID=eduroam","-78 dBm"
"3","0.000128","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2258, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"4","0.051367","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2416, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"5","0.051433","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2461, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"6","0.051491","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2435, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"7","0.101253","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2103, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"8","0.101351","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2287, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"9","0.101454","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2259, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"10","0.152404","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2417, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"11","0.152496","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2462, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"12","0.152600","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2436, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"17","0.203580","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2104, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"18","0.203649","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2288, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"19","0.203824","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2260, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-77 dBm"
"20","0.254815","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2418, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-57 dBm"
"21","0.254915","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2463, FN=0, Flags=........C, BI=100, SSID=eduroam","-57 dBm"
"22","0.255019","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2437, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-57 dBm"
"23","0.306080","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2105, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"24","0.306178","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2289, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"25","0.306282","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2261, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-77 dBm"
"28","0.357211","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2419, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"29","0.357311","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2464, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"30","0.357413","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2438, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"31","0.408468","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2106, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
"32","0.408567","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2290, FN=0, Flags=........C, BI=100, SSID=eduroam","-78 dBm"
"33","0.408670","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2262, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"34","0.459555","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2420, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"35","0.459653","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2465, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"36","0.459756","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2439, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"37","0.510707","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2107, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
"38","0.510775","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2291, FN=0, Flags=........C, BI=100, SSID=eduroam","-78 dBm"
"39","0.510876","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2263, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"42","0.561944","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2421, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"43","0.562058","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2466, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"44","0.562169","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2440, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"45","0.613273","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2108, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-78 dBm"
"46","0.613373","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2292, FN=0, Flags=........C, BI=100, SSID=eduroam","-78 dBm"
"47","0.613477","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2264, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"48","0.664251","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2422, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"49","0.664362","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2467, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"50","0.664475","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2441, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"61","0.715661","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2109, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-79 dBm"
"62","0.715760","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2293, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"63","0.715863","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2265, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-79 dBm"
"64","0.766806","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2423, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-57 dBm"
"65","0.766905","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2468, FN=0, Flags=........C, BI=100, SSID=eduroam","-57 dBm"
"66","0.767009","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2442, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-57 dBm"
"69","0.818069","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=2110, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"70","0.818168","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=2294, FN=0, Flags=........C, BI=100, SSID=eduroam","-78 dBm"
"71","0.818271","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=2266, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"72","0.869205","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2424, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-57 dBm"
"73","0.869304","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2469, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
