"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"3","0.020708","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2695, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"4","0.020827","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2831, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"5","0.020929","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2805, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"6","0.123137","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2696, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-58 dBm"
"7","0.123238","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2832, FN=0, Flags=........C, BI=100, SSID=eduroam","-58 dBm"
"8","0.123340","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2806, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-58 dBm"
"70","0.225421","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2697, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-59 dBm"
"71","0.225488","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2833, FN=0, Flags=........C, BI=100, SSID=eduroam","-59 dBm"
"72","0.225773","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2807, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-59 dBm"
"162","0.327952","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2698, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"163","0.328052","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2834, FN=0, Flags=........C, BI=100, SSID=eduroam","-59 dBm"
"164","0.328157","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2808, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"167","0.430351","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2699, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-59 dBm"
"168","0.430451","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2835, FN=0, Flags=........C, BI=100, SSID=eduroam","-59 dBm"
"169","0.430555","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2809, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-59 dBm"
"177","0.532694","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2700, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-59 dBm"
"178","0.532794","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2836, FN=0, Flags=........C, BI=100, SSID=eduroam","-59 dBm"
"179","0.532898","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=2810, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-59 dBm"
"183","0.635088","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2701, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-60 dBm"
"184","0.635156","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2837, FN=0, Flags=........C, BI=100, SSID=eduroam","-60 dBm"
"185","0.635258","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=2811, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-60 dBm"
"306","0.737486","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2702, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-59 dBm"
