"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=1213, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-75 dBm"
"2","0.000097","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=1397, FN=0, Flags=........C, BI=100, SSID=eduroam","-75 dBm"
"3","0.000192","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=1369, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-75 dBm"
"4","0.051303","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1527, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"5","0.051402","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1572, FN=0, Flags=........C, BI=100, SSID=eduroam","-56 dBm"
"6","0.051508","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1546, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-56 dBm"
"36","0.102622","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=1214, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-75 dBm"
"37","0.102723","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=1398, FN=0, Flags=........C, BI=100, SSID=eduroam","-75 dBm"
"38","0.102828","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=1370, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-75 dBm"
"39","0.153923","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1528, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-56 dBm"
"40","0.154024","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1573, FN=0, Flags=........C, BI=100, SSID=eduroam","-57 dBm"
"41","0.154128","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1547, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-57 dBm"
"45","0.204855","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=1215, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"46","0.204965","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=1399, FN=0, Flags=........C, BI=100, SSID=eduroam","-75 dBm"
"47","0.205077","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=1371, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"48","0.256318","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1529, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-57 dBm"
"49","0.256411","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1574, FN=0, Flags=........C, BI=100, SSID=eduroam","-57 dBm"
"50","0.256514","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1548, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-57 dBm"
"51","0.307362","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=1216, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-75 dBm"
"52","0.307430","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=1400, FN=0, Flags=........C, BI=100, SSID=eduroam","-75 dBm"
"53","0.307535","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=1372, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-75 dBm"
"54","0.358723","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1530, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-58 dBm"
"55","0.358823","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1575, FN=0, Flags=........C, BI=100, SSID=eduroam","-58 dBm"
"56","0.358927","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1549, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-58 dBm"
"68","0.409817","ArubaNet_11:fd:b2","Broadcast","802.11","239","Beacon frame, SN=1217, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"69","0.409918","ArubaNet_11:fd:b0","Broadcast","802.11","232","Beacon frame, SN=1401, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
"70","0.410020","ArubaNet_11:fd:b1","Broadcast","802.11","237","Beacon frame, SN=1373, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
