Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
348,20.7556988,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519830908, Ack=3734680419, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
349,20.7562885,131.253.61.80,10.231.231.191,211 (0xD3),TCP,"TCP:[Continuation to #336]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734680955 - 3734681491, Ack=1519830908, Win=65392 (scale factor 0x0) = 65392","{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
350,20.7562885,131.253.61.80,10.231.231.191,211 (0xD3),TCP,"TCP:[Continuation to #349]Flags=...AP..., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=88, Seq=3734681491 - 3734681579, Ack=1519830908, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
351,20.7565203,10.231.231.191,131.253.61.80,,TCP,"TCP:[Dup Ack #348]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519830908, Ack=3734680419, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
352,20.7566495,10.231.231.191,131.253.61.80,,TCP,"TCP:[Dup Ack #348]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519830908, Ack=3734680419, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
353,20.8937286,[24DEC6 11EF61],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
354,21.0984423,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
355,21.1349640,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #336]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734680419 - 3734680955, Ack=1519830908, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
356,21.1352449,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519830908, Ack=3734681579, Win=16360 (scale factor 0x0) = 16360","{TCP:44, IPv4:43}"
357,21.1472484,10.231.231.191,131.253.61.80,,TLS,TLS:TLS Rec Layer-1 HandShake: Client Key Exchange.; TLS Rec Layer-2 Cipher Change Spec; TLS Rec Layer-3 HandShake: Encrypted Handshake Message.,"{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
358,21.2009387,[24DEC6 11EF61],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
359,21.2163458,131.253.61.80,10.231.231.191,212 (0xD4),TLS,TLS:TLS Rec Layer-1 Cipher Change Spec; TLS Rec Layer-2 HandShake: Encrypted Handshake Message.,"{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
360,21.2179162,10.231.231.191,131.253.61.80,,TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
361,21.2183122,10.231.231.191,131.253.61.80,,TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
362,21.2183122,10.231.231.191,131.253.61.80,,TCP,"TCP:[Continuation to #361]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=1386, Seq=1519833025 - 1519834411, Ack=3734681686, Win=16253 (scale factor 0x0) = 16253","{TCP:44, IPv4:43}"
363,21.2183122,10.231.231.191,131.253.61.80,,TCP,"TCP:[Continuation to #361]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=1386, Seq=1519834411 - 1519835797, Ack=3734681686, Win=16253 (scale factor 0x0) = 16253","{TCP:44, IPv4:43}"
364,21.2183122,10.231.231.191,131.253.61.80,,TCP,"TCP:[Continuation to #361]Flags=...AP..., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=775, Seq=1519835797 - 1519836572, Ack=3734681686, Win=16253 (scale factor 0x0) = 16253","{TCP:44, IPv4:43}"
365,21.2827858,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=0, Seq=3734681686, Ack=1519833025, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
366,21.2830510,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=0, Seq=3734681686, Ack=1519835797, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
367,21.3033663,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
368,21.3384498,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=0, Seq=3734681686, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
369,21.3834211,131.253.61.80,10.231.231.191,212 (0xD4),TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
370,21.3836918,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734682222 - 3734682758, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
371,21.3838723,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734682758, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
372,21.3840716,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734682758 - 3734683294, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
373,21.4057318,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
374,21.4245735,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734683294, Win=16984 (scale factor 0x0) = 16984","{TCP:44, IPv4:43}"
375,21.4483887,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734683294 - 3734683830, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
376,21.4486881,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734683830 - 3734684366, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
377,21.4488531,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734684366, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
378,21.4491290,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734684366 - 3734684902, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
379,21.4491290,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734684902 - 3734685438, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
380,21.4493047,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734685438, Win=16448 (scale factor 0x0) = 16448","{TCP:44, IPv4:43}"
381,21.4884595,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734685438 - 3734685974, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
382,21.4887533,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734685974 - 3734686510, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
