Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
1,0.0625500,,,,NetmonFilter,NetmonFilter:Updated Capture Filter: None,
2,0.0625500,,,,NetworkInfoEx,"NetworkInfoEx:Network info for , Network Adapter Count = 1",
3,0.0625500,[24DEC6 11ECE1],[*BROADCAST],195 (0xC3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 195 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
4,0.0997179,10.231.231.191,173.194.67.108,,TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:4, SSLVersionSelector:3, TCP:2, IPv4:1}"
5,0.1180656,173.194.67.108,10.231.231.191,195 (0xC3),TCP,"TCP:Flags=...A...., SrcPort=imap4 over TLS/SSL(993), DstPort=9063, PayloadLen=0, Seq=1652757204, Ack=1372977107, Win=184","{TCP:2, IPv4:1}"
6,0.1649797,[24DEC6 11ECE1],[*BROADCAST],194 (0xC2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 194 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
7,0.2674655,[24DEC6 11ECE1],[*BROADCAST],194 (0xC2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 194 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
8,0.3696514,[24DEC6 11ECE1],[*BROADCAST],194 (0xC2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 194 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
9,0.4721111,[24DEC6 11ECE1],[*BROADCAST],194 (0xC2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 194 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
10,0.5745062,[24DEC6 11ECE1],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
11,0.6769714,[24DEC6 11ECE1],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
12,0.7792621,[24DEC6 11ECE1],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
13,0.9728653,[24DEC6 11EBA2],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
14,0.9730295,[24DEC6 11EBA0],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
15,0.9732643,[24DEC6 11EBA1],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
16,0.9764139,[8687FA 09BC5C],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 193 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 12",
17,0.9838115,[24DEC6 11ECE0],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
18,0.9840343,[24DEC6 11ECE1],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
19,0.9842238,[24DEC6 11ECE2],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
20,0.9983903,[E8CC32 01B44A],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = FCAP714045331_1209, Channel = 11",
21,1.0164373,[24DEC6 11FB02],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
22,1.0166011,[24DEC6 11FB00],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
23,1.0168384,[24DEC6 11FB01],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
24,1.0753548,[24DEC6 11EBA2],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
25,1.0754613,[24DEC6 11EBA0],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
26,1.0756948,[24DEC6 11EBA1],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
27,1.0862579,[24DEC6 11ECE0],[*BROADCAST],193 (0xC1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 193 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
28,1.0864649,[24DEC6 11ECE1],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
29,1.0866428,[24DEC6 11ECE2],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
30,1.1135534,[24DEC6 11F962],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
31,1.1188987,[24DEC6 11FB02],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
32,1.1190428,[24DEC6 11FB00],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
33,1.1267487,[WESTERN DIGITAL 130BA6],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = UXRD, Channel = 11",
34,1.1539629,[B4750E 82D0FC],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = Linksys04741, Channel = 11",
35,1.2189121,[24DEC6 11EF62],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 6",
36,1.2189121,[24DEC6 11EF60],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = eduroam, Channel = 6",
37,1.2192418,[24DEC6 11EF61],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
38,1.2394340,[24DEC6 11F142],[*BROADCAST],192 (0xC0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 192 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 6",
