Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
596,31.0062146,[80000B C94474],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID",
597,31.0169722,[80000B C94474],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID",
598,31.0179182,[80000B C94474],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa",
599,31.0182706,10.231.231.191,ssl.gstatic.com,,UDP,"UDP:SrcPort = 53490, DstPort = HTTPS(443), Length = 146","{UDP:38, IPv4:37}"
600,31.0187752,[80000B C94474],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID",
601,31.0492653,10.231.231.191,ssl.gstatic.com,,UDP,"UDP:SrcPort = 53490, DstPort = HTTPS(443), Length = 146","{UDP:38, IPv4:37}"
602,31.0632265,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
603,31.0637029,ssl.gstatic.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 53490, Length = 41","{UDP:38, IPv4:37}"
604,31.0769996,[80000B C94474],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID",
605,31.0790275,[80000B C94474],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID",
606,31.0873103,ssl.gstatic.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 53490, Length = 35","{UDP:38, IPv4:37}"
607,31.1605637,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
608,31.1689808,10.231.231.191,128.194.254.1,,DNS,"DNS:QueryId = 0xEA6E, QUERY (Standard query), Query  for clients6.google.com of type Host Addr on class Internet","{DNS:45, UDP:44, IPv4:32}"
609,31.1709771,128.194.254.1,10.231.231.191,216 (0xD8),DNS,"DNS:QueryId = 0xEA6E, QUERY (Standard query), Response - Success, 49, 0 ","{DNS:45, UDP:44, IPv4:32}"
610,31.1809090,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 1358","{UDP:47, IPv4:46}"
611,31.1811698,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 604","{UDP:47, IPv4:46}"
612,31.1991091,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 1358","{UDP:47, IPv4:46}"
613,31.2007573,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 1358","{UDP:47, IPv4:46}"
614,31.2008219,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 600","{UDP:47, IPv4:46}"
615,31.2068655,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 1233","{UDP:47, IPv4:46}"
616,31.2117604,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 46","{UDP:47, IPv4:46}"
617,31.2191559,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 1358","{UDP:47, IPv4:46}"
618,31.2192281,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 39","{UDP:47, IPv4:46}"
619,31.2195728,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 49","{UDP:47, IPv4:46}"
620,31.2197050,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 49","{UDP:47, IPv4:46}"
621,31.2293682,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 38","{UDP:47, IPv4:46}"
622,31.2295154,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 600","{UDP:47, IPv4:46}"
623,31.2295718,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 1220","{UDP:47, IPv4:46}"
624,31.2395353,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 38","{UDP:47, IPv4:46}"
625,31.2478840,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 511","{UDP:47, IPv4:46}"
626,31.2480670,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 24","{UDP:47, IPv4:46}"
627,31.2482454,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 52","{UDP:47, IPv4:46}"
628,31.2557687,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 54","{UDP:47, IPv4:46}"
629,31.2559744,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 24","{UDP:47, IPv4:46}"
630,31.2564828,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 46","{UDP:47, IPv4:46}"
631,31.2603822,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1358","{UDP:48, IPv4:46}"
632,31.2606520,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1241","{UDP:48, IPv4:46}"
633,31.2608304,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1220","{UDP:48, IPv4:46}"
634,31.2630247,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
635,31.2807407,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 1358","{UDP:48, IPv4:46}"
636,31.2818941,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 1358","{UDP:48, IPv4:46}"
637,31.2840961,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1358","{UDP:48, IPv4:46}"
638,31.2841607,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1237","{UDP:48, IPv4:46}"
639,31.2841966,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1216","{UDP:48, IPv4:46}"
640,31.2947669,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 43","{UDP:48, IPv4:46}"
641,31.3013036,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 1358","{UDP:48, IPv4:46}"
642,31.3014033,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 39","{UDP:48, IPv4:46}"
643,31.3017492,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 49","{UDP:48, IPv4:46}"
644,31.3019489,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 49","{UDP:48, IPv4:46}"
645,31.3121267,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 38","{UDP:48, IPv4:46}"
