Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
1,0.0173999,,,,NetmonFilter,NetmonFilter:Updated Capture Filter: None,
2,0.0173999,,,,NetworkInfoEx,"NetworkInfoEx:Network info for , Network Adapter Count = 1",
3,0.0173999,10.231.231.191,224.0.0.22,,IGMP,IGMP:IGMPv3 Membership Report,{IPv4:1}
4,0.0175402,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:0:16,,ICMPv6,ICMPv6:MLDv2 Multicast Listener Report,{IPv6:2}
5,0.0722094,[80000B C94267],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 211 dBm, Rate = Unknown, SSID = BroadCast SSID",
6,0.0731486,[80000B C94267],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa",
7,0.0741437,[80000B C94267],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 211 dBm, Rate = Unknown, SSID = BroadCast SSID",
8,0.0808027,[24DEC6 11ECE1],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
9,0.1211229,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:0:16,,ICMPv6,ICMPv6:MLDv2 Multicast Listener Report,{IPv6:2}
10,0.1218610,10.231.231.191,224.0.0.22,,IGMP,IGMP:IGMPv3 Membership Report,{IPv4:1}
11,0.1230679,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:0:16,,ICMPv6,ICMPv6:MLDv2 Multicast Listener Report,{IPv6:2}
12,0.1241678,10.231.231.191,224.0.0.22,,IGMP,IGMP:IGMPv3 Membership Report,{IPv4:1}
13,0.1273820,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:1:3,,LLMNR,"LLMNR:QueryId = 0xDE13, Standard, Query  for TrevinCollege of type ALL on class Internet","{UDP:3, IPv6:3}"
14,0.1278743,10.231.231.191,224.0.0.252,,LLMNR,"LLMNR:QueryId = 0xDE13, Standard, Query  for TrevinCollege of type ALL on class Internet","{UDP:4, IPv4:5}"
15,0.1832068,[24DEC6 11ECE1],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
16,0.2856408,[24DEC6 11ECE1],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
17,0.3138861,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:1:2,,DHCPV6,DHCPV6:MessageType = SOLICIT,"{UDP:3, IPv6:2}"
18,0.3167317,10.231.231.191,52.239.161.42,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3343, DstPort=HTTPS(443), PayloadLen=1, Seq=1444628826 - 1444628827, Ack=2441439563, Win=68","{TCP:6, IPv4:5}"
19,0.3820171,52.239.161.42,10.231.231.191,210 (0xD2),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3343, PayloadLen=0, Seq=2441439563, Ack=1444628827, Win=1024","{TCP:6, IPv4:5}"
20,0.3852373,10.231.231.191,52.239.161.42,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3347, DstPort=HTTPS(443), PayloadLen=1, Seq=505669619 - 505669620, Ack=111167052, Win=65","{TCP:7, IPv4:5}"
21,0.3879974,[24DEC6 11ECE1],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
22,0.4509144,52.239.161.42,10.231.231.191,210 (0xD2),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3347, PayloadLen=0, Seq=111167052, Ack=505669620, Win=1024","{TCP:7, IPv4:5}"
23,0.4904228,[24DEC6 11ECE1],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
24,0.5178252,0.0.0.0,10.231.231.191,,ARP,"ARP:Request, 0.0.0.0 asks for 10.231.231.191",
25,0.5179963,10.231.231.191,224.0.0.22,,IGMP,IGMP:IGMPv3 Membership Report,{IPv4:1}
26,0.5182743,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:0:1,,ICMPv6,"ICMPv6:Neighbor Advertisement, Target = FE80:0:0:0:FDF4:508D:125E:8B3B",{IPv6:1}
27,0.5184069,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:0:16,,ICMPv6,ICMPv6:MLDv2 Multicast Listener Report,{IPv6:2}
28,0.5199041,0.0.0.0,10.231.231.191,210 (0xD2),ARP,"ARP:Request, 0.0.0.0 asks for 10.231.231.191",
29,0.5381551,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:1:3,,LLMNR,"LLMNR:QueryId = 0xDE13, Standard, Query  for TrevinCollege of type ALL on class Internet","{UDP:3, IPv6:3}"
30,0.5384378,10.231.231.191,224.0.0.252,,LLMNR,"LLMNR:QueryId = 0xDE13, Standard, Query  for TrevinCollege of type ALL on class Internet","{UDP:4, IPv4:5}"
31,0.5758960,10.231.231.191,52.239.161.42,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3345, DstPort=HTTPS(443), PayloadLen=1, Seq=1978398055 - 1978398056, Ack=1399043416, Win=68","{TCP:8, IPv4:5}"
32,0.5927260,[24DEC6 11ECE1],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
33,0.6398433,52.239.161.42,10.231.231.191,210 (0xD2),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3345, PayloadLen=0, Seq=1399043416, Ack=1978398056, Win=1024","{TCP:8, IPv4:5}"
34,0.6553120,cs9.wpc.v0cdn.net,10.231.231.191,209 (0xD1),TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:11, SSLVersionSelector:10, TCP:9, IPv4:10}"
35,0.6554368,cs9.wpc.v0cdn.net,10.231.231.191,209 (0xD1),TLS,TLS:TLS Rec Layer-1 Encrypted Alert,"{TLS:11, SSLVersionSelector:10, TCP:9, IPv4:10}"
36,0.6554834,10.231.231.191,cs9.wpc.v0cdn.net,,TCP,"TCP:Flags=...A...., SrcPort=3349, DstPort=HTTPS(443), PayloadLen=0, Seq=175181980, Ack=2770330937, Win=162","{TCP:9, IPv4:10}"
37,0.6556190,cs9.wpc.v0cdn.net,10.231.231.191,209 (0xD1),TCP,"TCP:Flags=...A...F, SrcPort=HTTPS(443), DstPort=3349, PayloadLen=0, Seq=2770330937, Ack=175181980, Win=290","{TCP:9, IPv4:10}"
38,0.6556601,10.231.231.191,cs9.wpc.v0cdn.net,,TCP,"TCP:Flags=...A...F, SrcPort=3349, DstPort=HTTPS(443), PayloadLen=0, Seq=175181980, Ack=2770330937, Win=162","{TCP:9, IPv4:10}"
39,0.6556879,10.231.231.191,cs9.wpc.v0cdn.net,,TCP,"TCP:Flags=...A...., SrcPort=3349, DstPort=HTTPS(443), PayloadLen=0, Seq=175181981, Ack=2770330938, Win=162","{TCP:9, IPv4:10}"
40,0.6662993,cs9.wpc.v0cdn.net,10.231.231.191,209 (0xD1),TCP,"TCP:Flags=...A...., SrcPort=HTTPS(443), DstPort=3349, PayloadLen=0, Seq=2770330938, Ack=175181981, Win=290","{TCP:12, IPv4:10}"
41,0.6952754,[24DEC6 11ECE1],[*BROADCAST],209 (0xD1),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 209 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
42,0.7975811,[24DEC6 11ECE1],[*BROADCAST],208 (0xD0),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 208 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
43,0.8155614,10.231.231.191,172.226.179.232,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3333, DstPort=HTTPS(443), PayloadLen=1, Seq=2206572766 - 2206572767, Ack=548358179, Win=64","{TCP:13, IPv4:1}"
44,0.8165228,10.231.231.191,172.226.179.232,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3328, DstPort=HTTPS(443), PayloadLen=1, Seq=4031686445 - 4031686446, Ack=547995107, Win=68","{TCP:14, IPv4:1}"
45,0.8165232,10.231.231.191,172.226.179.232,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3331, DstPort=HTTPS(443), PayloadLen=1, Seq=3544002605 - 3544002606, Ack=544734795, Win=66","{TCP:15, IPv4:1}"
46,0.8219211,172.226.179.232,10.231.231.191,208 (0xD0),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3333, PayloadLen=0, Seq=548358179, Ack=2206572767, Win=1605","{TCP:13, IPv4:1}"
47,0.8231040,172.226.179.232,10.231.231.191,208 (0xD0),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3328, PayloadLen=0, Seq=547995107, Ack=4031686446, Win=1783","{TCP:14, IPv4:1}"
48,0.8233764,172.226.179.232,10.231.231.191,208 (0xD0),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3331, PayloadLen=0, Seq=544734795, Ack=3544002606, Win=1427","{TCP:15, IPv4:1}"
49,0.8378739,10.231.231.191,52.239.161.42,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3342, DstPort=HTTPS(443), PayloadLen=1, Seq=3239054493 - 3239054494, Ack=3759116827, Win=1207","{TCP:16, IPv4:5}"
50,0.8767956,10.231.231.191,172.226.179.232,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3329, DstPort=HTTPS(443), PayloadLen=1, Seq=51355589 - 51355590, Ack=559321312, Win=411","{TCP:17, IPv4:1}"
51,0.8838293,172.226.179.232,10.231.231.191,207 (0xCF),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3329, PayloadLen=0, Seq=559321312, Ack=51355590, Win=1783","{TCP:17, IPv4:1}"
52,0.9001024,[24DEC6 11ECE1],[*BROADCAST],207 (0xCF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 207 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
53,0.9034749,52.239.161.42,10.231.231.191,207 (0xCF),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3342, PayloadLen=0, Seq=3759116827, Ack=3239054494, Win=1023","{TCP:16, IPv4:5}"
54,0.9135166,10.231.231.191,172.226.179.232,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3330, DstPort=HTTPS(443), PayloadLen=1, Seq=2837928635 - 2837928636, Ack=557901160, Win=68","{TCP:18, IPv4:1}"
55,0.9201688,172.226.179.232,10.231.231.191,207 (0xCF),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3330, PayloadLen=0, Seq=557901160, Ack=2837928636, Win=1783","{TCP:18, IPv4:1}"
56,1.0023803,[24DEC6 11ECE1],[*BROADCAST],207 (0xCF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 207 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
57,1.1047779,[24DEC6 11ECE1],[*BROADCAST],207 (0xCF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 207 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
58,1.2072098,[24DEC6 11ECE1],[*BROADCAST],207 (0xCF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 207 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
59,1.3095946,[24DEC6 11ECE1],[*BROADCAST],207 (0xCF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 207 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
60,1.3730812,10.231.231.191,cy2.vortex.data.microsoft.com.akadns.net,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3338, DstPort=HTTPS(443), PayloadLen=1, Seq=2774412240 - 2774412241, Ack=1554214497, Win=63","{TCP:19, IPv4:3}"
61,1.4122219,[24DEC6 11ECE1],[*BROADCAST],206 (0xCE),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 206 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
62,1.4215935,cy2.vortex.data.microsoft.com.akadns.net,10.231.231.191,206 (0xCE),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3338, PayloadLen=0, Seq=1554214497, Ack=2774412241, Win=514","{TCP:19, IPv4:3}"
63,1.5143967,[24DEC6 11ECE1],[*BROADCAST],206 (0xCE),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 206 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
64,1.5176999,0.0.0.0,10.231.231.191,,ARP,"ARP:Request, 0.0.0.0 asks for 10.231.231.191",
65,1.5193614,0.0.0.0,10.231.231.191,206 (0xCE),ARP,"ARP:Request, 0.0.0.0 asks for 10.231.231.191",
66,1.5577434,10.231.231.191,172.226.179.232,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3332, DstPort=HTTPS(443), PayloadLen=1, Seq=864635986 - 864635987, Ack=564892056, Win=68","{TCP:20, IPv4:1}"
67,1.5644687,172.226.179.232,10.231.231.191,205 (0xCD),TCP,"TCP:[Keep alive ack]Flags=...A...., SrcPort=HTTPS(443), DstPort=3332, PayloadLen=0, Seq=564892056, Ack=864635987, Win=1605","{TCP:20, IPv4:1}"
68,1.6166862,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
69,1.6521529,52.239.161.42,10.231.231.191,205 (0xCD),TCP,"TCP:[Keep alive ack]Flags=...A.R.., SrcPort=HTTPS(443), DstPort=3345, PayloadLen=0, Seq=1399043416, Ack=1978398056, Win=0","{TCP:8, IPv4:5}"
70,1.8216513,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
71,1.9239548,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
72,2.0263982,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
73,2.1286727,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
74,2.2312239,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
75,2.3148364,FE80:0:0:0:FDF4:508D:125E:8B3B,FF02:0:0:0:0:0:1:2,,DHCPV6,DHCPV6:MessageType = SOLICIT,"{UDP:3, IPv6:2}"
76,2.3202941,10.231.231.191,239.255.255.250,,SSDP,"SSDP:Request, M-SEARCH * ","{HTTP:10, UDP:9, IPv4:27}"
77,2.3336634,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
78,2.4359986,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
79,2.5173741,10.231.231.191,10.231.231.191,,ARP,"ARP:Request, 10.231.231.191 asks for 10.231.231.191",
80,2.5383894,[24DEC6 11ECE1],[*BROADCAST],205 (0xCD),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 205 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
81,2.5604055,10.231.231.191,172.226.179.232,,TCP,"TCP:Flags=...A...F, SrcPort=3331, DstPort=HTTPS(443), PayloadLen=0, Seq=3544002606, Ack=544734795, Win=66","{TCP:15, IPv4:1}"
82,2.5611137,10.231.231.191,172.226.179.232,,TCP,"TCP:Flags=...A...F, SrcPort=3328, DstPort=HTTPS(443), PayloadLen=0, Seq=4031686446, Ack=547995107, Win=68","{TCP:14, IPv4:1}"
83,2.5616757,10.231.231.191,172.226.179.232,,TCP,"TCP:Flags=...A...F, SrcPort=3333, DstPort=HTTPS(443), PayloadLen=0, Seq=2206572767, Ack=548358179, Win=64","{TCP:13, IPv4:1}"
84,2.5622064,10.231.231.191,172.226.179.232,,TCP,"TCP:Flags=...A...F, SrcPort=3329, DstPort=HTTPS(443), PayloadLen=0, Seq=51355590, Ack=559321312, Win=411","{TCP:17, IPv4:1}"
85,2.5627264,10.231.231.191,172.226.179.232,,TCP,"TCP:Flags=...A...F, SrcPort=3330, DstPort=HTTPS(443), PayloadLen=0, Seq=2837928636, Ack=557901160, Win=68","{TCP:18, IPv4:1}"
