Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
1,0.5617822,,,,NetmonFilter,NetmonFilter:Updated Capture Filter: None,
2,0.5617822,,,,NetworkInfoEx,"NetworkInfoEx:Network info for , Network Adapter Count = 1",
3,0.5617822,[1C9148 C18233],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
4,0.6168975,[B0702D D24DE1],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 8",
5,0.6273801,[B0702D D24DE1],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 8",
6,0.6485208,[B0702D D24DE1],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 9",
7,0.7001366,[BC8556 EDF1F1],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = HP-Print-f1-LaserJet 100, Channel = 6",
8,0.7477953,[WESTERN DIGITAL 130BA6],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = UXRD, Channel = 11",
9,0.7745584,[B4750E 82D0FC],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = Linksys04741, Channel = 11",
10,0.8336410,[24DEC6 11F962],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
11,0.8336410,[24DEC6 11F960],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
12,0.8500711,[WESTERN DIGITAL 130BA6],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = UXRD, Channel = 11",
13,0.8989640,[24DEC6 11EBA2],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-guest, Channel = 11",
14,0.8989640,[24DEC6 11EBA0],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = eduroam, Channel = 11",
15,0.8993561,[24DEC6 11EBA1],[*BROADCAST],191 (0xBF),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 191 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
