Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,"This data was collected in front of Room 164, in the middle of the hallway on the floor with the screen of the laptop facing toward the main entrance of Weisenbaker"
1,0.0593221,,,,NetmonFilter,NetmonFilter:Updated Capture Filter: None,
2,0.0593221,,,,NetworkInfoEx,"NetworkInfoEx:Network info for , Network Adapter Count = 1",
3,0.0593221,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
4,0.1617249,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
5,0.2641999,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
6,0.3665424,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
7,0.4689657,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
8,0.5712222,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
9,0.6738089,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
10,0.7761954,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
11,0.8756713,[80000B C94267],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = BroadCast SSID",
12,0.8767114,[80000B C94267],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa",
13,0.8775325,[80000B C94267],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = BroadCast SSID",
14,0.8785918,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
15,0.9819307,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
16,1.1857514,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
17,1.2852713,[80000B C94267],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = BroadCast SSID",
18,1.2882794,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
19,1.3906335,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
20,1.4929661,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
21,1.5991489,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
22,1.6978268,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
23,1.8002129,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
24,1.9025208,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
25,2.0049402,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
26,2.1073468,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
27,2.2097398,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
28,2.3121635,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
29,2.4146270,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
30,2.5180040,[7C7A91 9EC6AE],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
31,2.5229451,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
32,2.6192983,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
33,2.7217036,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
34,2.8241547,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
35,3.0289415,[24DEC6 11EF61],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
36,3.1313669,[24DEC6 11EF61],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
37,3.2338185,[24DEC6 11EF61],[*BROADCAST],211 (0xD3),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 211 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
