"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"2","0.022291","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1474, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"3","0.022352","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1474, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"4","0.022446","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1474, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"6","0.036737","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1627, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"7","0.036936","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1627, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"8","0.037035","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1627, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"23","0.124873","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1475, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"24","0.124977","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1475, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"25","0.125079","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1475, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"26","0.129761","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1620, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"27","0.129870","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1620, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"29","0.139330","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1628, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"30","0.139433","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1628, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"31","0.139535","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1628, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"32","0.227241","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1476, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"33","0.227332","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1476, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"34","0.227434","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1476, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"35","0.241884","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1629, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"36","0.242045","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1629, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"41","0.309494","CameoCom_fe:21:fc","ff:33:f9:ff:ff:ff","802.11","322","Beacon frame, SN=3149, FN=0, Flags=........., BI=100, SSID=toop2[Malformed Packet]","-93 dBm"
"42","0.329642","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1477, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"43","0.329745","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1477, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"44","0.329846","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1477, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"45","0.334552","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1622, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"46","0.334647","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1622, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"47","0.334749","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=1622, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-88 dBm"
"48","0.344095","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1630, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"49","0.344198","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1630, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"50","0.344301","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1630, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"51","0.432035","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1478, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"52","0.432137","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1478, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"53","0.432239","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1478, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"54","0.436946","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1623, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"55","0.437037","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1623, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"56","0.437139","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=1623, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-89 dBm"
"57","0.446486","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1631, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"58","0.446590","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1631, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"59","0.446692","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1631, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"62","0.518268","CameoCom_fe:21:fc","Broadcast","802.11","322","Beacon frame, SN=3151, FN=0, Flags=........., BI=100, SSID=toop2","-91 dBm"
"63","0.534270","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1479, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"64","0.534372","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1479, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"65","0.534475","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1479, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"66","0.539154","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1624, FN=0, Flags=........., BI=100, SSID=eduroam","-87 dBm"
"67","0.539208","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1624, FN=0, Flags=........., BI=100, SSID=tamulink-wpa[Malformed Packet]","-86 dBm"
"68","0.548676","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1632, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"69","0.548773","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1632, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"70","0.548870","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1632, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"71","0.616672","CameoCom_fe:21:fc","Broadcast","802.11","322","Beacon frame, SN=3152, FN=0, Flags=........C, BI=100, SSID=toop2","-93 dBm"
"72","0.636768","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1480, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"73","0.636937","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1480, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"74","0.637039","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1480, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"75","0.641730","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1625, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"76","0.641821","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1625, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"78","0.651211","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1633, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"79","0.651314","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1633, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"80","0.651416","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1633, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
