"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"5","0.024015","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3998, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"6","0.024149","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3998, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-55 dBm"
"7","0.024360","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3998, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-55 dBm"
"48","0.126639","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3999, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"49","0.126743","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3999, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"50","0.126999","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3999, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"65","0.178664","f4:12:29:5b:fc:f2","Broadcast","802.11","239","Beacon frame, SN=867, FN=1, Flags=........., BI=100, SSID=tamulink-guest[Malformed Packet]","-90 dBm"
"104","0.229014","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4000, FN=0, Flags=........C, BI=100, SSID=eduroam","-54 dBm"
"105","0.229132","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=4000, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"106","0.229390","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4000, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"139","0.331260","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4001, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"140","0.331365","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=4001, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"141","0.331590","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4001, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"211","0.433752","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4002, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"212","0.433856","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=4002, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"213","0.434073","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4002, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"259","0.535955","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4003, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"260","0.536138","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=4003, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"261","0.536405","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4003, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"346","0.638582","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4004, FN=0, Flags=........C, BI=100, SSID=eduroam","-53 dBm"
"347","0.638674","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=4004, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-53 dBm"
"348","0.638836","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4004, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-53 dBm"
"404","0.690239","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=4020, FN=0, Flags=........., BI=100, SSID=eduroam","-90 dBm"
"431","0.740831","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4005, FN=0, Flags=........C, BI=100, SSID=eduroam","-54 dBm"
"432","0.740937","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4005, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"433","0.741099","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4005, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"491","0.843369","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4006, FN=0, Flags=........C, BI=100, SSID=eduroam","-54 dBm"
"492","0.843438","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4006, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-54 dBm"
"493","0.843636","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4006, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-54 dBm"
"574","0.945635","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4007, FN=0, Flags=........C, BI=100, SSID=eduroam","-55 dBm"
"575","0.945805","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=4007, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-55 dBm"
"576","0.946003","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=4007, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-55 dBm"
