"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"4","0.003462","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=2406, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"5","0.003582","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=2406, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"6","0.003898","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=2406, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"24","0.019772","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=2545, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"25","0.019894","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2545, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-79 dBm"
"26","0.020053","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=2545, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-79 dBm"
"43","0.098989","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2552, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"44","0.099095","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2552, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-82 dBm"
"45","0.099203","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2552, FN=0, Flags=........., BI=100, SSID=tamulink}Vres\\357[Malformed Packet]","-83 dBm"
"65","0.106125","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=2407, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"66","0.106335","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=2407, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"68","0.122159","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=2546, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"69","0.122273","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2546, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"70","0.122386","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=2546, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-79 dBm"
"120","0.201382","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"121","0.201497","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"122","0.201693","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"123","0.208433","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=2408, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"124","0.208556","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=2408, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"125","0.208822","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=2408, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"126","0.224608","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=2547, FN=0, Flags=........C, BI=100, SSID=eduroam","-79 dBm"
"127","0.224738","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=2547, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-79 dBm"
