"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"49","0.006566","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2332, FN=0, Flags=........C, BI=100, SSID=eduroam","-52 dBm"
"50","0.006718","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2332, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-51 dBm"
"51","0.006939","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2332, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-52 dBm"
"99","0.109044","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2333, FN=0, Flags=........C, BI=100, SSID=eduroam","-51 dBm"
"100","0.109141","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2333, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-51 dBm"
"101","0.109356","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2333, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-51 dBm"
"170","0.211517","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2334, FN=0, Flags=........C, BI=100, SSID=eduroam","-51 dBm"
"171","0.211623","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2334, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"172","0.211837","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2334, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"463","0.313880","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2335, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"464","0.313948","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2335, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-49 dBm"
"465","0.314176","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2335, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-49 dBm"
"988","0.416347","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2336, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"989","0.416438","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2336, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-49 dBm"
"990","0.416663","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2336, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-49 dBm"
"2065","0.536666","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2337, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"2066","0.536727","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2337, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"2067","0.536854","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2337, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"2351","0.620948","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2338, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"2352","0.621047","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2338, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"2353","0.621192","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2338, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"2425","0.723517","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2339, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"2426","0.723611","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2339, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"2427","0.723772","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2339, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-49 dBm"
"2460","0.825908","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2340, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"2461","0.826001","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2340, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-49 dBm"
"2462","0.826162","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2340, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"2499","0.928221","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2341, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"2500","0.928326","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2341, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"2501","0.928485","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2341, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"2558","1.030686","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2342, FN=0, Flags=........C, BI=100, SSID=eduroam","-50 dBm"
"2559","1.030790","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2342, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"2560","1.030954","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2342, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-50 dBm"
"2598","1.132974","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2343, FN=0, Flags=........C, BI=100, SSID=eduroam","-51 dBm"
"2599","1.133126","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2343, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-50 dBm"
"2600","1.133395","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2343, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-51 dBm"
"2647","1.235418","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2344, FN=0, Flags=........C, BI=100, SSID=eduroam","-48 dBm"
"2648","1.235485","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2344, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-48 dBm"
"2649","1.235683","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2344, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-48 dBm"
"2670","1.337806","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2345, FN=0, Flags=........C, BI=100, SSID=eduroam","-48 dBm"
"2671","1.337976","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2345, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-48 dBm"
"2672","1.338175","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=2345, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-48 dBm"
"2702","1.390675","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=2361, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"2703","1.390742","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=2361, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"2704","1.390847","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=2361, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-89 dBm"
"2720","1.440249","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=2346, FN=0, Flags=........C, BI=100, SSID=eduroam","-52 dBm"
"2721","1.440341","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=2346, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-52 dBm"
