"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"3","0.042397","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1546, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"4","0.042674","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1546, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"5","0.042874","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1546, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"6","0.059311","ArubaNet_11:eb:40","fb:ff:ff:ff:ff:ff","802.11","229","Beacon frame, SN=1691, FN=0, Flags=........., BI=51361, SSID=\\357\\277\\275[Packet size limited during capture]","-89 dBm"
"7","0.059415","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1691, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-89 dBm"
"9","0.066919","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1699, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"10","0.067017","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1699, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"11","0.067119","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1699, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"20","0.145066","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1547, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"21","0.145230","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1547, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"22","0.145333","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1547, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"26","0.163923","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1692, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"27","0.164005","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1692, FN=0, Flags=........., BI=100, SSID=ta%\\357\\277\\275\\357\\277\\275\\357\\277\\275[Malformed Packet]","-88 dBm"
"28","0.164105","ArubaNet_3b:27:d3","ff:cf:02:ed:ff:ff","802.11","236","Beacon frame, SN=485, FN=8, Flags=........., BI=100, SSID=tQ*\\357\\277\\275\\001ink-gue[Malformed Packet]","-88 dBm"
"29","0.169287","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1700, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"30","0.169365","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1700, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"31","0.169467","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1700, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"45","0.247470","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1548, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"46","0.247570","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1548, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"47","0.247670","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1548, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"51","0.264205","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1693, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"52","0.264285","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1693, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"54","0.271647","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1701, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"55","0.271763","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1701, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"56","0.271993","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1701, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"60","0.350048","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1549, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"61","0.366530","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1694, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"62","0.366609","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1694, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"63","0.366711","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=1694, FN=0, Flags=........., BI=58914, SSID=Broadcast[Malformed Packet]","-89 dBm"
"64","0.374035","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=1702, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"65","0.374116","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=1702, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"66","0.374217","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=1702, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"99","0.452623","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1550, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"108","0.468874","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=1695, FN=0, Flags=........., BI=5116, SSID=eduroam","-84 dBm"
"109","0.468930","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1695, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
