"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"15388","43.295843","ArubaNet_11:f1:41","Broadcast","802.11","234","Beacon frame, SN=2568, FN=0, Flags=........., BI=46, SSID=t\\357\\277\\275\\357\\277\\275\\031link","-89 dBm"
"15389","43.295947","ArubaNet_11:f1:42","Broadcast","802.11","236","Beacon frame, SN=1736, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-90 dBm"
"15423","43.358636","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2415, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"15424","43.358749","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2415, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"15450","43.366622","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2568, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"15502","43.398293","ArubaNet_11:f1:40","Broadcast","802.11","229","Beacon frame, SN=2569, FN=0, Flags=........., BI=1252, SSID=eduroam","-88 dBm"
"15734","43.460480","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2416, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"15761","43.469009","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2569, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"15762","43.469119","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2569, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"15763","43.469235","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2569, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"16029","43.560663","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2562, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"16030","43.560774","ArubaNet_11:eb:41","ff:ff:f2:ff:ff:ff","802.11","234","Beacon frame, SN=2562, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-89 dBm"
"16031","43.560882","24:6d:c7:11:eb:42","Broadcast","802.11","236","Beacon frame, SN=850, FN=0, Flags=........., BI=32868, SSID=Broadcast","-88 dBm"
"16053","43.571538","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2570, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"16054","43.571648","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2570, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"16055","43.571757","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2570, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"16137","43.663028","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2563, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"16138","43.663138","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2563, FN=0, Flags=........., BI=100, SSID=tamulin\\vS\\357\\277\\275[Packet size limited during capture]","-87 dBm"
"16139","43.663247","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2563, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-88 dBm"
"16140","43.665462","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2418, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"16141","43.665566","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2418, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"16142","43.665677","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2418, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"16144","43.673899","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2571, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"16145","43.674004","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2571, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"16146","43.674115","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2571, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"16149","43.692923","ArubaNet_11:fd:c1","Broadcast","802.11","234","Beacon frame, SN=660, FN=7, Flags=........., BI=100","-89 dBm"
"16150","43.705674","d6:65:66:20:b6:03","b0:6f:93:12:4d:ca","802.11","234","Beacon frame, SN=2572, FN=0, Flags=........., BI=52316","-92 dBm"
"16157","43.765349","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2564, FN=0, Flags=........C, BI=100, SSID=eduroam","-88 dBm"
"16158","43.765457","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2564, FN=0, Flags=........., BI=15521[Malformed Packet]","-88 dBm"
"16160","43.768556","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2419, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"16161","43.768623","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2419, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"16162","43.768728","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2419, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"16172","43.776156","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2572, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"16173","43.776223","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2572, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"16174","43.776329","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2572, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"16184","43.859596","AsixElec_08:e3:5a","Broadcast","802.11","105","Beacon frame, SN=1366, FN=0, Flags=........C, BI=100, SSID=WiFi_OBDII","-93 dBm"
"16185","43.870121","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2420, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"16186","43.870230","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2420, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"16187","43.870348","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2420, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"16188","43.878552","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2573, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"16189","43.878626","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2573, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"16190","43.878775","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2573, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"16197","43.970272","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2566, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"16198","43.970369","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2566, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"16199","43.970478","ArubaNet_11:eb:42","ce:40:94:fc:ff:ff","802.11","236","Beacon frame, SN=3486, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-88 dBm"
"16200","43.981073","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2574, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"16201","43.981176","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2574, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"16202","43.981286","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2574, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"16203","44.012781","ArubaNet_11:f1:40","Broadcast","802.11","229","Beacon frame, SN=2575, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"16204","44.012903","ArubaNet_11:f1:41","Broadcast","802.11","234","Beacon frame, SN=2575, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"16205","44.013084","24:7e:a4:5f:f1:42","Broadcast","802.11","236","Beacon frame, SN=680, FN=7, Flags=........., BI=58958, SSID=ta\\357\\277\\275\\357\\277\\275\\357\\277\\275\\357\\277\\275[Malformed Packet]","-89 dBm"
"16213","44.072664","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2567, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"16214","44.072763","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2567, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-89 dBm"
"16216","44.076739","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2422, FN=0, Flags=........., BI=100, SSID=eduroam","-72 dBm"
"16217","44.076836","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2422, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"16218","44.083471","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2575, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"16219","44.083570","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2575, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"16220","44.083680","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2575, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-66 dBm"
"16227","44.114934","2a:83:f7:b6:93:ae","33:6e:a2:63:67:9f","802.11","229","Beacon frame, SN=2576, FN=0, Flags=........., BI=100, SSID=eT\\357\\277\\275ro[Packet size limited during capture]","-88 dBm"
"16238","44.175009","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2568, FN=0, Flags=........., BI=100, SSID=eduroam[Packet size limited during capture]","-88 dBm"
"16239","44.177418","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2423, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"16240","44.177528","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2423, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"16241","44.177638","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2423, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"16242","44.185858","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2576, FN=0, Flags=........C, BI=100, SSID=eduroam","-64 dBm"
"16243","44.185960","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2576, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-64 dBm"
"16244","44.186071","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2576, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
"16256","44.277309","8d:46:e5:10:eb:40","ff:ff:ff:ff:ff:e3","802.11","229","Beacon frame, SN=2313, FN=0, Flags=........., BI=100, SSID=eduroam","-88 dBm"
"16257","44.277374","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2569, FN=0, Flags=........., BI=55678, SSID=tamulink-wpa","-89 dBm"
"16258","44.277521","ArubaNet_11:eb:26","2b:70:af:ce:10:d1","802.11","236","Beacon frame, SN=2569, FN=0, Flags=........., BI=100, SSID=tam\\005l=rk-guest","-90 dBm"
"16259","44.279684","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2424, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"16260","44.279792","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2424, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"16261","44.279939","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2424, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"16265","44.288115","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2577, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"16271","44.319693","57:f4:dd:48:0d:1d","ff:ff:ff:a2:33:ed","802.11","229","Beacon frame, SN=2578, FN=13, Flags=........., BI=100","-88 dBm"
"16272","44.319753","8d:de:c6:11:f1:6b","72:03:fb:ff:ff:ff","802.11","234","Beacon frame, SN=2578, FN=0, Flags=o.m.R..T., BI=10365[Malformed Packet]","-89 dBm"
"16273","44.319900","ArubaNet_11:f1:42","Broadcast","802.11","236","Beacon frame, SN=3481, FN=2, Flags=........., BI=58053, SSID=tQ\\357\\277\\275M\\357\\277\\275\\357\\277\\275&\\357[Malformed Packet]","-88 dBm"
"16275","44.379829","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2570, FN=0, Flags=........., BI=100, SSID=edurEcm","-88 dBm"
"16276","44.379926","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2570, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"16277","44.380079","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=3914, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-88 dBm"
"16278","44.382164","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2425, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"16279","44.382275","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2425, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"16280","44.382385","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2425, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"16281","44.390598","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2578, FN=0, Flags=........C, BI=100, SSID=eduroam","-63 dBm"
"16282","44.390718","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2578, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-63 dBm"
"16285","44.422184","ArubaNet_11:f1:40","Broadcast","802.11","229","Beacon frame, SN=2579, FN=0, Flags=........., BI=100, SSID=eduroam","-92 dBm"
"16297","44.482219","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2571, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"16298","44.482321","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=3555, FN=4, Flags=........., BI=35351, SSID=Broadcast","-87 dBm"
"16299","44.482429","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2571, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"16300","44.485395","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2426, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"16301","44.485504","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2426, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"16302","44.485613","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2426, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"16303","44.493035","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2579, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"16304","44.493185","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2579, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"16308","44.524721","6f:1b:c2:e2:e2:15","72:33:ee:ff:cf:40","802.11","234","Beacon frame, SN=3687, FN=2, Flags=........., BI=23995[Packet size limited during capture]","-90 dBm"
"16309","44.587006","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2427, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"16310","44.587104","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2427, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"16311","44.587214","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2427, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"16312","44.595422","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2580, FN=0, Flags=........C, BI=100, SSID=eduroam","-65 dBm"
"16313","44.595527","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2580, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-65 dBm"
"16314","44.595636","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2580, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-65 dBm"
"16315","44.626968","ArubaNet_11:f1:40","Broadcast","802.11","229","Beacon frame, SN=2581, FN=0, Flags=........., BI=100, SSID=eduroam","-92 dBm"
"16316","44.627070","ArubaNet_11:f1:41","Broadcast","802.11","234","Beacon frame, SN=2581, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"16318","44.659588","AsixElec_08:e3:5a","Broadcast","802.11","105","Beacon frame, SN=1376, FN=0, Flags=........C, BI=100, SSID=WiFi_OBDII","-93 dBm"
"16324","44.687010","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2573, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"16325","44.687108","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2573, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"16326","44.687218","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2573, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-87 dBm"
"16327","44.689389","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2428, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"16328","44.689491","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2428, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"16329","44.689601","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=2428, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"16330","44.697812","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2581, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"16331","44.697915","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2581, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"16332","44.698024","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2581, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"16335","44.789280","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2574, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"16336","44.789389","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2574, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"16337","44.789495","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2574, FN=0, Flags=........., BI=100, SSID=tamulink-gu\\001pt","-88 dBm"
"16338","44.791646","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2429, FN=0, Flags=........., BI=100, SSID=eduroam","-60 dBm"
